               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055955,            0.018859,            0.082455,            0.055328,             0.49659,            0.095538,            0.070197,            0.018655,           0.0039768,            0.054747,            0.070052,           0.0033275,           0.0033275
                   1,            0.032695,            0.013514,            0.078127,             0.29556,             0.41679,             0.23989,             0.19689,            0.013661,           0.0030961,            0.050398,            0.039393,           0.0060014,           0.0060014
                   2,            0.030016,            0.012193,            0.067143,             0.70905,             0.54158,             0.66549,             0.49552,            0.015157,           0.0031571,            0.030783,           0.0080734,           0.0080153,           0.0080153
                   3,            0.028863,            0.011766,            0.047821,             0.87623,             0.85493,             0.90087,             0.71576,            0.014725,           0.0028836,            0.016813,             0.00703,             0.00703,             0.00703
                   4,            0.027875,             0.01136,              0.0366,             0.84763,             0.91635,              0.9409,             0.76615,            0.013321,           0.0032021,            0.011397,             0.00703,             0.00703,             0.00703
                   5,            0.025769,            0.011047,             0.02983,             0.94176,             0.95584,             0.97996,             0.80383,            0.013225,            0.002982,           0.0069922,             0.00604,             0.00604,             0.00604
                   6,            0.023961,            0.010462,            0.024748,             0.95594,             0.98818,             0.98959,             0.85852,            0.011004,            0.002705,           0.0042233,             0.00505,             0.00505,             0.00505
                   7,            0.022295,            0.010098,            0.021523,             0.98425,             0.99069,             0.99312,             0.86186,            0.010331,           0.0025357,           0.0030669,             0.00406,             0.00406,             0.00406
                   8,            0.020515,            0.009711,            0.018525,             0.98436,             0.99004,               0.993,             0.88428,           0.0090254,           0.0023323,           0.0026415,             0.00307,             0.00307,             0.00307
                   9,            0.018939,           0.0092797,            0.016309,             0.98806,               0.991,             0.99404,              0.8848,           0.0086958,            0.002527,           0.0018281,             0.00208,             0.00208,             0.00208
